person,idx,start,stop,days,hours,h_per_day,retreat
niplav,1,2020-01-23,2020-03-31,69,37.46,0.543,false
niplav,2,2020-04-01,2020-06-30,91,78.71,0.865,false
niplav,3,2020-07-01,2020-09-30,92,101.66,1.105,false
niplav,4,2020-10-01,2020-12-31,92,125.52,1.364,false
niplav,5,2021-01-01,2021-03-31,90,111.47,1.239,false
niplav,6,2021-04-01,2021-06-30,91,103.25,1.135,false
niplav,7,2021-07-01,2021-09-28,90,81.84,0.909,false
niplav,8,2021-09-29,2021-10-09,11,91.0,8.273,true
niplav,9,2021-10-10,2021-12-31,83,63.2,0.761,false
niplav,10,2022-01-01,2022-03-31,90,121.85,1.354,false
niplav,11,2022-04-01,2022-06-30,91,59.82,0.657,false
niplav,12,2022-07-01,2022-08-15,46,12.22,0.266,false
niplav,13,2022-08-16,2022-09-14,30,300.63,10.021,true
niplav,14,2022-09-15,2022-09-30,16,9.97,0.623,false
niplav,15,2022-10-01,2022-12-31,92,32.67,0.355,false
niplav,16,2023-01-01,2023-03-31,90,25.16,0.28,false
niplav,17,2023-04-01,2023-06-30,91,44.49,0.489,false
niplav,18,2023-07-01,2023-09-30,92,39.67,0.431,false
niplav,19,2023-10-01,2023-10-08,8,63.47,7.933,true
niplav,20,2023-10-09,2023-10-15,7,2.95,0.421,false
niplav,21,2023-10-16,2023-10-23,8,66.97,8.371,true
niplav,22,2023-10-24,2023-12-31,69,4.85,0.07,false
niplav,23,2024-01-01,2024-03-31,91,10.8,0.119,false
niplav,24,2024-04-01,2024-06-30,91,4.27,0.047,false
niplav,25,2024-07-01,2024-08-09,40,10.12,0.253,false
niplav,26,2024-08-10,2024-08-19,10,88.0,8.8,true
niplav,27,2024-08-20,2024-09-30,42,31.66,0.754,false
niplav,28,2024-10-01,2024-12-31,92,37.46,0.407,false
niplav,29,2025-01-01,2025-03-31,90,109.84,1.22,false
niplav,30,2025-04-01,2025-06-30,91,15.61,0.172,false
niplav,31,2025-07-01,2025-09-30,92,20.82,0.226,false
niplav,32,2025-10-01,2025-12-31,92,11.34,0.123,false
niplav,33,2026-01-01,2026-01-07,7,4.5,0.643,false
niplav,34,2026-01-08,2026-01-21,14,148.89,10.635,true
niplav,35,2026-01-22,2026-03-31,69,144.39,2.093,false
niplav,36,2026-04-01,2026-06-26,87,44.0,0.506,false
niplav,37,2026-07-05,2026-08-01,28,280.0,10.0,true
