Approach,Location,Attractiveness,Frequency,Enjoyment,Blowout,Name,Contact,Age,Stop,Notes,Datetime,Estimated,Size,Transcribed
1,924046,7,,,0,59390,,,,,2020-08-25 19:15:00+02:00,1,,
2,924046,5,,,1,59390,,,,,2020-08-25 20:00:00+02:00,1,,
3,924046,6,,,0,30639,number,,,,2020-09-08 18:34:00+02:00,1,,
4,578941,8,,,0,59390,,,,,2020-09-21 18:53:30+02:00,1,,
5,924046,5,,,0,59390,,,,,2020-09-21 19:37:00+02:00,1,,
6,924046,6,,,0,59390,,,,,2020-12-12 14:18:00+01:00,1,,
7,924046,6,,,0,59390,,,,,2020-12-12 14:36:00+01:00,1,,
8,924046,7,,,0,57894,,,,,2020-12-12 14:54:00+01:00,1,,
9,924046,7,,,0,74013,number,,,,2020-12-12 15:12:00+01:00,1,,
10,924046,6.5,,,0,59390,,,,,2020-12-12 15:30:00+01:00,1,,
11,924046,6.5,,,0,78692,number,,,,2021-02-13 14:50:00+01:00,1,,
12,924046,7,,,0,59390,,,,,2021-02-16 17:03:00+01:00,1,,
13,332195,6.8,,,0,43637,number,,,,2021-02-17 16:45:00+01:00,1,,
14,924046,6,,,0,59390,,,,,2021-02-17 17:11:00+01:00,1,,
15,924046,6.5,,,0,59390,,,,,2021-03-05 17:15:00+01:00,1,,
16,924046,6,,,0,78692,number,,,,2021-03-07 14:45:00+01:00,1,,
17,924046,5,,,0,59390,,,,,2021-03-13 14:11:15+01:00,1,,
18,924046,6.5,,,0,33219,number,,,,2021-03-13 14:41:30+01:00,1,,
19,924046,6.5,,,0,59390,,,,,2021-03-13 15:11:45+01:00,1,,
20,924046,7.3,25,,0,59390,,,,,2021-03-13 15:42:00+01:00,1,,
21,924046,6,,,1,59390,,,,,2021-06-09 18:49:00+02:00,1,,
22,924046,6,,,1,59390,,,,,2021-06-09 19:38:00+02:00,1,,
23,924046,6.5,,,1,59390,,,,,2021-06-15 18:35:00+02:00,1,,
24,785084,6.5,50,,0,59390,,,,,2021-06-15 19:30:00+02:00,1,,
25,785084,8,2,,0,59390,,,,,2021-06-17 18:17:00+02:00,1,,
26,785084,6.5,,,0,59390,,,,,2021-06-21 19:02:24+02:00,1,,
27,835159,7,,,0,77887,number,28,,,2021-06-21 19:21:48+02:00,1,,
28,785084,8,,,0,59390,,,,,2021-06-21 19:41:12+02:00,1,,
29,496077,7,,,0,10088,number,,,,2021-06-21 20:00:36+02:00,1,,
30,785084,6.8,2,,0,59390,,,,,2021-06-21 20:20:00+02:00,1,2,
31,785084,5,,,0,59390,,,,,2021-06-22 19:24:00+02:00,1,2,
32,785084,6,,,0,59390,,,,,2021-06-23 19:45:00+02:00,1,,
33,785084,6.5,,,0,59390,,,,,2021-06-25 19:43:00+02:00,1,,
34,785084,6,60,,0,78508,,,,,2021-06-26 18:09:00+02:00,1,,
35,785084,5.5,,,1,59390,,,,,2021-06-26 18:42:00+02:00,1,,
36,785084,7,120,,0,83515,,,,,2021-06-26 19:15:00+02:00,1,,
37,785084,6.5,,,1,59390,,,,,2021-06-26 19:48:00+02:00,1,,
38,709269,5.5,,,0,76120,number,,,,2021-06-26 20:21:00+02:00,1,,
39,785084,7,,,0,59390,,,,,2021-06-26 20:54:00+02:00,1,,
40,785084,7,,,0,59390,,,,,2021-06-29 18:44:40+02:00,1,2,
41,785084,7.5,,,0,49607,,,,,2021-06-29 19:29:20+02:00,1,,
42,496077,5.5,,,0,42629,number,,,,2021-06-29 20:14:00+02:00,1,,
43,785084,7,inf,,0,59390,,,,,2021-07-03 17:33:00+02:00,1,,
44,785084,5.5,,,0,94579,,,,,2021-07-04 19:41:15+02:00,1,,
45,785084,5.5,,,0,59390,,,,,2021-07-04 20:00:30+02:00,1,,
46,449256,5.5,,,0,82180,number ,,,,2021-07-04 20:19:45+02:00,1,,
47,449256,7,inf,,0,59390,,,,,2021-07-04 20:39:00+02:00,1,,
48,449256,7.5,365,,0,59390,,,,,2021-07-05 19:18:40+02:00,1,,
49,449256,7,365,,0,59390,,,,,2021-07-05 20:11:20+02:00,1,,
50,399686,5.5,,,0,70926,number,,,,2021-07-05 21:04:00+02:00,1,,
51,496077,7,,,1,59390,,,,,2021-07-08 19:01:48+02:00,1,,
52,696163,5.5,30,,0,15782,,,,,2021-07-08 19:27:36+02:00,1,,
53,399686,7,,,1,59390,,,,,2021-07-08 19:53:24+02:00,1,,
54,496077,6.5,30,,0,59390,,,,,2021-07-08 20:19:12+02:00,1,,
55,696163,7,90,,0,59390,,,,,2021-07-08 20:45:00+02:00,1,,
56,696163,6,,,0,59390,,,,,2021-07-10 00:15:00+02:00,1,,
57,496077,7,,,0,59390,,,,,2021-07-14 20:06:00+02:00,1,,
58,496077,6,365,,0,59390,,,,,2021-07-16 20:00:00+02:00,1,,
59,785084,6.5,,,0,59390,,,,,2021-07-18 19:28:40+02:00,1,2,
60,449256,6,,,1,59390,,,,,2021-07-18 19:51:20+02:00,1,,
61,496077,7,,,0,11975,,,,,2021-07-18 20:14:00+02:00,1,,
62,496077,6,,,0,90968,,,,,2021-07-19 19:00:45+02:00,1,,
63,496077,6.5,,,0,86808,,,,,2021-07-19 19:40:30+02:00,1,,
64,796877,7,,,0,59390,,,,,2021-07-19 20:20:15+02:00,1,,
