Depart,Start,End,Return,First,Last,Amount
2020-07-09T16:15:00,2020-07-09T16:34:00,2020-07-09T17:34:00,2020-07-09T18:09:00,0,0,0
2020-08-10T16:30:00,2020-08-10T16:57:00,2020-08-10T17:55:00,2020-08-10T18:30:00,0,0,0
2020-08-11T16:20:00,2020-08-11T17:00:00,2020-08-11T17:45:00,2020-08-11T18:05:00,0,0,0
2020-08-20T16:50:00,2020-08-20T17:18:00,2020-08-20T18:19:00,2020-08-20T18:40:00,0,0,0
2020-08-24T16:19:00,2020-08-24T16:50:00,2020-08-24T17:50:00,2020-08-24T18:10:00,0,0,0
2020-08-25T18:15:00,2020-08-25T18:30:00,2020-08-25T20:00:00,2020-08-25T20:25:00,0,2,2
2020-09-04T17:35:00,2020-09-04T18:00:00,2020-09-04T18:40:00,2020-09-04T18:40:00,2,2,0
2020-09-07T17:22:00,2020-09-07T18:08:00,2020-09-07T19:14:00,2020-09-07T19:31:00,2,2,0
2020-09-08T17:22:00,2020-09-08T17:47:00,2020-09-08T18:34:00,2020-09-08T19:00:00,2,3,1
2020-09-09T17:35:00,2020-09-09T18:05:00,2020-09-09T19:01:00,2020-09-09T19:30:00,3,3,0
2020-09-21T17:30:00,2020-09-21T18:10:00,2020-09-21T19:37:00,2020-09-21T19:57:00,3,5,2
2020-10-13T17:00:00,2020-10-13T17:54:00,2020-10-13T18:23:00,2020-10-13T19:10:00,5,5,0
2020-10-20T16:48:00,2020-10-20T16:48:00,2020-10-20T18:31:00,2020-10-20T18:31:00,5,5,0
2020-10-23T16:40:00,2020-10-23T16:40:00,2020-10-23T18:01:00,2020-10-23T18:01:00,5,5,0
2020-10-27T16:49:00,2020-10-27T16:49:00,2020-10-27T17:32:00,2020-10-27T17:32:00,5,5,0
2020-10-30T12:15:00,2020-10-30T12:15:00,2020-10-30T12:32:00,2020-10-30T12:32:00,5,5,0
2020-10-30T12:45:00,2020-10-30T12:45:00,2020-10-30T13:50:00,2020-10-30T13:50:00,5,5,0
2020-12-05T14:00:00,2020-12-05T14:00:00,2020-12-05T15:30:00,2020-12-05T15:30:00,5,5,0
2020-12-12T14:00:00,2020-12-12T14:00:00,2020-12-12T15:30:00,2020-12-12T15:30:00,5,10,5
2020-12-17T09:33:00,2020-12-17T09:33:00,2020-12-17T10:00:00,2020-12-17T10:00:00,10,10,0
2021-01-16T13:01:00,2021-01-16T13:01:00,2021-01-16T14:02:00,2021-01-16T14:02:00,11,11,0
2021-02-13T13:55:00,2021-02-13T13:55:00,2021-02-13T14:50:00,2021-02-13T14:50:00,11,12,1
2021-02-15T15:58:00,2021-02-15T15:58:00,2021-02-15T16:47:00,2021-02-15T16:47:00,12,12,0
2021-02-16T16:22:00,2021-02-16T16:22:00,2021-02-16T17:03:00,2021-02-16T17:03:00,12,13,1
2021-02-17T16:19:00,2021-02-17T16:19:00,2021-02-17T17:11:00,2021-02-17T17:11:00,13,15,2
2021-02-26T16:16:00,2021-02-26T16:16:00,2021-02-26T16:49:00,2021-02-26T16:49:00,15,15,0
2021-03-03T16:13:00,2021-03-03T16:13:00,2021-03-03T17:15:00,2021-03-03T17:15:00,15,15,0
2021-03-05T16:44:00,2021-03-05T16:44:00,2021-03-05T17:15:00,2021-03-05T17:15:00,15,16,1
2021-03-07T13:01:00,2021-03-07T13:01:00,2021-03-07T13:41:00,2021-03-07T13:41:00,16,16,0
2021-03-07T13:45:00,2021-03-07T13:45:00,2021-03-07T14:45:00,2021-03-07T14:45:00,16,17,1
2021-03-08T16:17:00,2021-03-08T16:17:00,2023-03-03T15:10:57,2023-03-03T15:10:57,17,19,2
2021-03-13T13:41:00,2021-03-13T13:41:00,2021-03-13T15:42:00,2021-03-13T15:42:00,19,23,4
2021-05-27T17:30:00,2021-05-27T17:40:00,2021-05-27T18:34:00,2021-05-27T18:34:00,23,23,0
2021-05-29T17:36:00,2021-05-29T18:20:00,2023-03-03T15:10:57,2023-03-03T15:10:57,23,23,0
2021-05-31T17:07:00,2021-05-31T17:23:00,2021-05-31T18:09:00,2021-05-31T18:09:00,23,23,0
2021-05-31T18:13:00,2021-05-31T18:13:00,2021-05-31T18:30:00,2021-05-31T19:06:00,23,23,0
2021-06-02T16:57:00,2021-06-02T17:32:00,2021-06-02T18:25:00,2021-06-02T18:25:00,23,23,0
2021-06-04T18:06:00,2021-06-04T18:06:00,2021-06-04T18:25:00,2021-06-04T18:25:00,23,23,0
2021-06-05T12:40:00,2021-06-05T12:57:00,2021-06-05T14:07:00,2021-06-05T14:07:00,23,23,0
2021-06-09T18:00:00,2021-06-09T18:00:00,2021-06-09T19:38:00,2021-06-09T19:38:00,23,25,2
2021-06-11T18:13:00,2021-06-11T18:27:00,2021-06-11T19:48:00,2021-06-11T19:48:00,25,25,0
2021-06-13T17:20:00,2021-06-13T17:35:00,2021-06-13T19:35:00,2021-06-13T20:11:00,25,25,0
2021-06-15T17:40:00,2021-06-15T17:40:00,2021-06-15T19:30:00,2021-06-15T19:30:00,25,27,2
2021-06-17T17:18:00,2021-06-17T17:37:00,2021-06-17T18:17:00,2021-06-17T18:17:00,27,28,1
2021-06-17T18:27:00,2021-06-17T18:27:00,2021-06-17T18:55:00,2021-06-17T18:55:00,28,28,0
2021-06-21T18:43:00,2021-06-21T18:43:00,2021-06-21T20:20:00,2021-06-21T20:20:00,28,33,5
2021-06-22T18:50:00,2021-06-22T19:01:00,2021-06-22T19:24:00,2021-06-22T19:55:00,33,34,1
2021-06-23T18:40:00,2021-06-23T18:40:00,2021-06-23T19:45:00,2021-06-23T19:45:00,34,35,1
2021-06-25T19:20:00,2021-06-25T19:20:00,2021-06-25T19:43:00,2021-06-25T19:43:00,35,36,1
2021-06-26T12:37:00,2021-06-26T12:37:00,2021-06-26T13:51:00,2021-06-26T13:51:00,36,36,0
2021-06-26T17:36:00,2021-06-26T17:36:00,2021-06-26T20:54:00,2021-06-26T20:54:00,36,42,6
2021-06-29T18:00:00,2021-06-29T18:00:00,2021-06-29T20:14:00,2021-06-29T20:14:00,42,45,3
2021-07-03T16:00:00,2021-07-03T16:00:00,2021-07-03T17:33:00,2021-07-03T17:33:00,45,46,1
2021-07-04T19:22:00,2021-07-04T19:22:00,2021-07-04T20:39:00,2021-07-04T20:39:00,46,50,4
2021-07-05T18:26:00,2021-07-05T18:26:00,2021-07-05T21:04:00,2021-07-05T21:04:00,50,53,3
2021-07-08T18:36:00,2021-07-08T18:36:00,2021-07-08T20:45:00,2021-07-08T20:45:00,53,58,5
2021-07-09T17:30:00,2021-07-09T17:30:00,2021-07-10T00:15:00,2021-07-10T00:15:00,58,59,1
2021-07-14T19:14:00,2021-07-14T19:14:00,2021-07-14T20:06:00,2021-07-14T20:06:00,59,60,1
2021-07-16T18:14:00,2021-07-16T18:14:00,2021-07-16T20:00:00,2021-07-16T20:00:00,60,61,1
2021-07-18T19:06:00,2021-07-18T19:06:00,2021-07-18T20:14:00,2021-07-18T20:14:00,61,64,3
2021-07-19T18:21:00,2021-07-19T18:21:00,2021-07-19T21:00:00,2021-07-19T21:00:00,64,68,4
