#age, expected age of death m, expected age of death f
0,78.36,83.18
1,78.64,83.44
2,78.66,83.46
3,78.67,83.47
4,78.68,83.48
5,78.69,83.49
6,78.69,83.49
7,78.70,83.50
8,78.71,83.50
9,78.71,83.51
10,78.72,83.51
11,78.72,83.52
12,78.73,83.52
13,78.73,83.53
14,78.74,83.54
15,78.75,83.54
16,78.75,83.55
17,78.77,83.56
18,78.79,83.57
19,78.81,83.58
20,78.83,83.60
21,78.86,83.61
22,78.88,83.62
23,78.91,83.63
24,78.93,83.64
25,78.96,83.65
26,78.98,83.66
27,79.01,83.67
28,79.03,83.69
29,79.06,83.70
30,79.09,83.71
31,79.12,83.73
32,79.15,83.75
33,79.18,83.77
34,79.21,83.78
35,79.25,83.80
36,79.29,83.82
37,79.32,83.85
38,79.37,83.87
39,79.41,83.89
40,79.45,83.92
41,79.50,83.95
42,79.55,83.98
43,79.61,84.01
44,79.66,84.05
45,79.73,84.09
46,79.80,84.13
47,79.87,84.18
48,79.95,84.23
49,80.03,84.29
50,80.13,84.35
51,80.23,84.42
52,80.34,84.49
53,80.46,84.56
54,80.59,84.65
55,80.73,84.74
56,80.88,84.83
57,81.05,84.94
58,81.22,85.05
59,81.42,85.16
60,81.62,85.28
61,81.83,85.42
62,82.05,85.56
63,82.29,85.70
64,82.54,85.85
65,82.80,86.00
66,83.07,86.17
67,83.35,86.34
68,83.64,86.53
69,83.94,86.72
70,84.25,86.91
71,84.57,87.12
72,84.89,87.34
73,85.23,87.56
74,85.58,87.79
75,85.93,88.03
76,86.30,88.27
77,86.68,88.53
78,87.08,88.81
79,87.49,89.10
80,87.92,89.42
81,88.38,89.77
82,88.86,90.15
83,89.38,90.56
84,89.91,90.99
85,90.47,91.45
86,91.07,91.95
87,91.69,92.48
88,92.34,93.04
89,93.01,93.63
90,93.70,94.26
91,94.42,94.92
92,95.16,95.61
93,95.94,96.34
94,96.72,97.09
95,97.55,97.88
96,98.40,98.71
97,99.27,99.54
98,100.14,100.40
99,101.02,101.24
100,101.91,102.11
