datetime,enjoyment,methods
2021-01-15T17:30:00,0,av
2021-01-17T23:30:00,0.5,av
2021-01-19T02:39:00,1.5,
2021-01-23T06:05:00,0,a
2021-01-23T14:20:00,1.2,a
2021-01-23T20:00:00,0.7,av
2021-01-26T01:20:00,0.3,av
2021-01-27T23:20:00,0.5,t
2021-01-30T19:50:00,1.2,a
2021-02-02T01:15:00,0.8,av
2021-02-05T23:25:00,1.7,av
2021-02-06T01:45:00,0.1,av
2021-02-07T23:40:00,0.5,a
2021-02-09T00:20:00,0.4,av
2021-02-10T16:25:00,0.6,av
2021-02-13T19:40:00,0.2,av
2021-02-17T23:30:00,0.6,av
2021-02-21T00:40:00,1.4,av
2021-02-21T12:30:00,1.4,av
2021-02-23T00:15:00,0.5,
2021-02-27T06:08:00,1.2,
2021-02-28T04:28:00,0.9,a
2021-03-08T01:29:00,1.0,av
2021-03-08T02:24:00,0.8,av
2021-03-09T06:15:00,-0.1,t
2021-03-11T23:05:00,1.0,av
2021-03-13T23:33:00,0.8,av
2021-03-15T00:05:00,-0.4,t
2021-03-15T18:55:00,0.4,t
2021-03-15T23:09:00,0.9,av
2021-03-17T22:20:00,0.3,a
2021-03-18T00:21:00,0.7,av
2021-03-19T14:15:00,0.6,a
2021-03-20T00:55:00,0.9,a
2021-03-20T16:20:00,0.5,tai
2021-03-21T20:15:00,0.3,ta
2021-03-22T01:00:00,0.75,
2021-03-22T14:20:00,0.3,ta
2021-03-22T23:46:20,0.4,av
2021-03-24T02:30:00,0.5,t
2021-03-24T23:16:00,0.6,av
2021-03-26T10:55:00,0.35,t
2021-03-26T23:34:00,1.2,a
2021-03-27T13:30:00,0.7,av
2021-03-29T01:28:00,0.6,a
2021-03-30T01:30:00,0.35,
2021-03-31T19:55:00,0.15,a
2021-03-31T20:20:00,1.5,av
2021-03-31T20:55:00,0.2,av
2021-04-02T00:40:00,0.15,av
2021-04-03T00:06:00,0.1,av
2021-04-03T02:05:00,0.25,
2021-04-03T17:30:00,0.3,a
2021-04-06T08:30:00,0.3,
2021-04-07T00:05:00,0.15,t
2021-04-08T17:10:00,0.3,t
2021-04-09T18:20:00,0.5,t
2021-04-10T00:52:00,1.7,a
2021-04-13T01:04:00,0.6,av
2021-04-15T03:15:00,0.4,av
2021-04-17T01:15:00,1.0,av
2021-04-17T03:00:00,0.4,av
2021-04-18T23:55:00,0.6,av
2021-04-19T00:30:00,0.35,av
2021-04-19T23:45:00,0.3,tav
2021-04-21T01:15:00,0.7,av
2021-04-23T23:45:00,0.3,t
2021-04-24T01:30:00,1.0,a
2021-04-25T01:10:00,0.4,av
2021-04-26T18:35:00,0.4,t
2021-04-27T01:30:00,0.3,t
2021-04-27T17:10:00,0.7,av
2021-04-29T22:10:00,0.7,av
2021-05-01T23:28:00,0.5,av
2021-05-04T01:20:00,0.6,
2021-05-05T01:45:00,0.8,av
