_id,meditation_start,meditation_end,meditation_duration,mindfulness_rating,concentration_rating,comment
1,2020-01-23 07:22:36.551000+00:00,2020-01-23 07:42:36.551000+00:00,1200.0,,,
2,2020-01-24 08:18:05.944000+00:00,2020-01-24 08:38:10.633000+00:00,1203.0,,,
3,2020-01-25 10:48:00.855000+00:00,2020-01-25 11:08:19.987000+00:00,1217.0,,,
4,2020-01-25 21:43:35.628000+00:00,2020-01-25 21:53:50.260000+00:00,613.0,,,
5,2020-01-26 09:58:52.094000+00:00,2020-01-26 10:19:15.229000+00:00,1221.0,,,
6,2020-01-27 07:32:32.488000+00:00,2020-01-27 07:52:53.590000+00:00,1219.0,,,
7,2020-01-27 22:29:14.058000+00:00,2020-01-27 22:34:28.658000+00:00,313.0,,,
8,2020-01-28 06:36:38.558000+00:00,2020-01-28 06:56:57.567000+00:00,1217.0,,,
9,2020-01-28 22:34:00.590000+00:00,2020-01-28 22:39:11.635000+00:00,309.0,,,
10,2020-01-29 07:29:43.151000+00:00,2020-01-29 07:50:00.266000+00:00,1215.0,,,
11,2020-01-30 10:06:36.293000+00:00,2020-01-30 10:26:48.898000+00:00,1211.0,,,
12,2020-01-31 01:33:04.561000+00:00,2020-01-31 01:34:59.863000+00:00,114.0,,,
13,2020-01-31 12:22:33.206000+00:00,2020-01-31 12:43:00.741000+00:00,1208.0,,,
14,2020-02-01 00:48:41.927000+00:00,2020-02-01 00:50:17.928000+00:00,94.0,,,
15,2020-02-01 11:58:21.198000+00:00,2020-02-01 12:28:29.677000+00:00,1806.0,,,
16,2020-02-02 14:56:41.424000+00:00,2020-02-02 15:27:17.542000+00:00,1807.0,,,
17,2020-02-02 22:50:26.811000+00:00,2020-02-02 23:01:03.448000+00:00,626.0,,,
18,2020-02-03 07:13:15.162000+00:00,2020-02-03 07:43:35.526000+00:00,1818.0,,,
19,2020-02-04 08:18:12.099000+00:00,2020-02-04 08:19:15.719000+00:00,61.0,,,
20,2020-02-04 09:30:15.290000+00:00,2020-02-04 09:57:21.930000+00:00,1625.0,,,
21,2020-02-05 00:00:51.122000+00:00,2020-02-05 00:02:23.712000+00:00,91.0,,,
22,2020-02-05 08:24:50.605000+00:00,2020-02-05 08:55:07.698000+00:00,1815.0,,,
23,2020-02-05 21:59:12.071000+00:00,2020-02-05 22:09:19.780000+00:00,606.0,,,
24,2020-02-06 10:09:44.353000+00:00,2020-02-06 10:28:32.741000+00:00,1079.0,,,
25,2020-02-07 01:15:25.241000+00:00,2020-02-07 01:25:28.144000+00:00,601.0,,,
26,2020-02-07 22:46:45.150000+00:00,2020-02-07 23:17:00.304000+00:00,1813.0,,,
27,2020-02-08 15:20:37.359000+00:00,2020-02-08 15:51:09.844000+00:00,1810.0,,,
28,2020-02-08 22:44:42.645000+00:00,2020-02-08 22:55:13.311000+00:00,629.0,,,
29,2020-02-09 11:19:44.701000+00:00,2020-02-09 11:50:20.829000+00:00,1810.0,,,
30,2020-02-09 23:43:11.064000+00:00,2020-02-09 23:53:19.544000+00:00,607.0,,,
31,2020-02-10 07:22:09.933000+00:00,2020-02-10 07:52:09.933000+00:00,1800.0,,,
32,2020-02-10 22:25:39.815000+00:00,2020-02-10 22:35:47.013000+00:00,605.0,,,
33,2020-02-11 07:47:23.991000+00:00,2020-02-11 07:57:35.089000+00:00,609.0,,,
34,2020-02-11 20:14:56.077000+00:00,2020-02-11 20:45:29.287000+00:00,1807.0,,,
35,2020-02-12 08:16:27.287000+00:00,2020-02-12 08:47:26.610000+00:00,1806.0,,,
36,2020-02-12 23:42:05.031000+00:00,2020-02-12 23:52:13.997000+00:00,607.0,,,
37,2020-02-13 08:11:03.677000+00:00,2020-02-13 08:41:13.715000+00:00,1808.0,,,
38,2020-02-14 21:34:54.012000+00:00,2020-02-14 22:05:03.314000+00:00,1807.0,,,
39,2020-02-16 00:26:51.364000+00:00,2020-02-16 00:42:26.439000+00:00,933.0,,,
