"alarm","date","activity","happy","content","relaxed","horny"
2021-01-16T15:45,2021-01-16T15:45,"",67,53,46,
2021-01-16T15:52,2021-01-16T15:52,"",,,,
2021-01-16T19:28,2021-01-16T19:28,"",42,39,54,
2021-01-16T20:30,2021-01-16T20:30,"",53,45,71,
2021-01-17T09:28,2021-01-17T09:28,"",53,73,68,
2021-01-17T10:09,2021-01-17T10:09,"",48,43,48,
2021-01-17T11:10,2021-01-17T11:10,"",44,41,62,
2021-01-17T12:54,2021-01-17T12:54,"",47,54,56,
2021-01-17T13:09,2021-01-17T13:09,"",40,39,43,
2021-01-17T13:42,2021-01-17T13:42,"",37,40,49,
2021-01-17T15:51,2021-01-17T15:51,"",57,72,64,
2021-01-17T17:11,2021-01-17T17:11,"",59,50,50,
2021-01-17T17:11,2021-01-17T17:11,"",60,53,54,
2021-01-17T17:42,2021-01-17T17:42,"",52,56,42,
2021-01-17T18:49,2021-01-17T18:49,"",60,56,43,
2021-01-17T20:57,2021-01-17T20:57,"",,,,
2021-01-18T08:43,2021-01-18T08:43,"",42,48,41,
2021-01-18T10:38,2021-01-18T10:38,"",56,56,52,
2021-01-18T11:11,2021-01-18T11:11,"",48,46,44,
2021-01-18T13:48,2021-01-18T13:48,"",58,52,56,
2021-01-18T14:33,2021-01-18T14:33,"",54,53,47,
2021-01-18T15:05,2021-01-18T15:05,"",48,56,47,
2021-01-18T15:55,2021-01-18T15:55,"",62,54,47,
2021-01-18T17:35,2021-01-18T17:35,"",49,48,43,
2021-01-18T18:09,2021-01-18T18:09,"",46,54,54,
2021-01-18T18:41,2021-01-18T18:41,"",45,43,47,
2021-01-19T08:23,2021-01-19T08:23,"",61,59,58,
2021-01-19T09:19,2021-01-19T09:19,"",55,54,54,
2021-01-19T09:36,2021-01-19T09:36,"",49,47,47,
2021-01-19T10:46,2021-01-19T10:46,"",56,48,54,
2021-01-19T11:51,2021-01-19T11:51,"",52,54,48,
2021-01-19T14:49,2021-01-19T14:49,"",44,41,47,
2021-01-19T16:47,2021-01-19T16:47,"",61,63,54,
2021-01-19T17:22,2021-01-19T17:22,"",61,52,51,
2021-01-19T17:52,2021-01-19T17:52,"",48,46,49,
2021-01-19T18:14,2021-01-19T18:14,"",42,47,54,
2021-01-19T18:30,2021-01-19T18:30,"",53,54,52,
2021-01-19T18:45,2021-01-19T18:45,"",45,40,48,
2021-01-20T13:07,2021-01-20T13:07,"",54,58,54,
2021-01-20T14:26,2021-01-20T14:26,"",48,47,44,
2021-01-20T14:42,2021-01-20T14:42,"",53,51,42,
2021-01-20T15:14,2021-01-20T15:14,"",56,55,47,
2021-01-20T16:05,2021-01-20T16:05,"",48,41,47,
2021-01-20T16:35,2021-01-20T16:35,"",48,47,47,
2021-01-20T17:05,2021-01-20T17:05,"",58,54,53,
2021-01-20T17:21,2021-01-20T17:21,"",49,51,53,
2021-01-20T18:32,2021-01-20T18:32,"",60,61,61,
2021-01-20T20:06,2021-01-20T20:06,"",45,43,44,
2021-01-20T20:23,2021-01-20T20:23,"",43,48,46,
2021-01-20T20:38,2021-01-20T20:38,"",55,52,47,
2021-01-21T09:39,2021-01-21T09:39,"",58,53,53,
2021-01-21T09:55,2021-01-21T09:55,"",52,54,59,
2021-01-21T10:55,2021-01-21T10:55,"",56,52,48,
2021-01-21T12:57,2021-01-21T12:57,"",48,44,47,
2021-01-21T14:04,2021-01-21T14:04,"",44,42,48,
2021-01-21T15:08,2021-01-21T15:08,"",61,56,49,
2021-01-21T16:47,2021-01-21T16:47,"",48,44,52,
2021-01-21T18:06,2021-01-21T18:06,"",61,50,49,
2021-01-22T11:27,2021-01-22T11:27,"",62,52,48,
2021-01-22T12:12,2021-01-22T12:12,"",52,54,47,
2021-01-22T14:17,2021-01-22T14:17,"",57,53,57,
2021-01-22T20:31,2021-01-22T20:31,"",62,55,52,
2021-01-22T20:46,2021-01-22T20:46,"",55,47,60,
2021-01-23T13:10,2021-01-23T13:10,"",52,56,49,
2021-01-23T13:25,2021-01-23T13:25,"",47,49,50,
2021-01-23T14:10,2021-01-23T14:10,"",56,60,53,
2021-01-23T14:57,2021-01-23T14:57,"",61,60,57,
2021-01-23T17:23,2021-01-23T17:23,"",54,61,56,
2021-01-23T20:37,2021-01-23T20:37,"",54,61,54,
2021-01-23T21:09,2021-01-23T21:09,"",53,58,60,
2021-01-24T08:44,2021-01-24T08:44,"",56,61,52,
2021-01-24T13:09,2021-01-24T13:09,"",53,53,48,
2021-01-24T14:28,2021-01-24T14:28,"",48,43,45,
2021-01-24T14:43,2021-01-24T14:43,"",43,41,39,
2021-01-24T15:59,2021-01-24T15:59,"",58,61,56,
2021-01-24T17:03,2021-01-24T17:03,"",58,55,49,
2021-01-24T18:37,2021-01-24T18:37,"",47,52,48,
2021-01-24T20:41,2021-01-24T20:41,"",54,60,54,
2021-01-25T09:19,2021-01-25T09:19,"",49,44,47,
2021-01-25T11:16,2021-01-25T11:16,"",52,53,53,
2021-01-25T11:47,2021-01-25T11:47,"",54,53,55,
2021-01-25T12:02,2021-01-25T12:02,"",57,57,53,
2021-01-25T13:06,2021-01-25T13:06,"",51,46,46,
2021-01-25T15:12,2021-01-25T15:12,"",54,57,52,
2021-01-25T16:04,2021-01-25T16:04,"",58,61,56,
2021-01-25T17:54,2021-01-25T17:54,"",58,57,55,
2021-01-25T18:10,2021-01-25T18:10,"",49,48,44,
