"datetime","creativity in [-10;10]"
2022-10-27T21:27:54+02:00,0.3
2022-10-29T21:52:33+02:00,0.15
2022-11-06T23:46:40+01:00,0.2
2022-11-17T22:38:51+01:00,0.2
2023-01-22T22:07:24+01:00,0.3
2023-01-24T22:28:29+01:00,0.6
2023-01-27T22:02:22+01:00,0.2
2023-03-05T18:13:00+01:00,0.2
2023-03-16T20:00:00+01:00,0.3
2023-03-17T20:01:52+01:00,-0.1
2023-03-19T21:56:00+01:00,0.25
2023-03-20T21:10:56+01:00,0.2
2023-03-21T20:00:00+01:00,0.45
2023-03-22T20:11:56+01:00,0.4
2023-03-23T20:00:00+01:00,0.05
2023-03-24T20:00:00+01:00,0.3
2023-03-25T22:03:28+01:00,0.05
2023-03-26T20:00:00+02:00,-0.2
2023-03-27T22:06:34+02:00,0.15
2023-03-28T20:00:00+02:00,-0.1
2023-03-31T20:46:00+02:00,0.1
2023-04-01T21:51:08+02:00,0
2023-04-02T20:49:17+02:00,0.1
2023-04-03T20:00:00+02:00,0.35
2023-04-04T23:42:58+02:00,0.3
2023-04-06T21:47:00+02:00,0.1
2023-04-07T20:00:00+02:00,0
2023-04-08T20:00:00+02:00,0.05
2023-04-09T20:12:19+02:00,0.1
2023-04-10T20:30:58+02:00,0.15
2023-04-11T20:32:21+02:00,-0.05
2023-04-12T20:47:59+02:00,1.0
2023-04-13T20:09:36+02:00,0
2023-04-14T20:00:00+02:00,0.4
2023-04-15T20:01:39+02:00,0.15
2023-04-16T20:00:00+02:00,0
2023-04-17T22:44:04+02:00,-0.05
2023-04-20T20:00:00+02:00,0.1
2023-04-21T20:00:00+02:00,0.15
2023-04-22T23:15:45+02:00,0
2023-04-24T20:00:00+02:00,1.0
2023-04-25T23:52:31+02:00,1.0
2023-04-26T20:15:31+02:00,0
2023-04-27T23:43:55+02:00,0.65
2023-04-28T20:00:00+02:00,0.4
2023-04-29T20:00:00+02:00,0.1
2023-04-30T20:00:00+02:00,0.05
2023-05-01T20:20:26+02:00,0.35
2023-05-02T20:00:00+02:00,0
2023-05-03T22:42:41+02:00,0.35
2023-05-04T20:00:00+02:00,0.05
2023-05-05T20:28:42+02:00,0.1
2023-05-06T20:23:55+02:00,0
2023-05-07T22:41:45+02:00,02023-05-08T20:00:00+02:00,0.3
