datetime,weight
2022-10-14T18:06:50+02:00,68.2
2022-10-16T19:13:09+02:00,69.8
2022-11-09T21:25:00+01:00,71.5
2022-11-11T20:43:00+01:00,72.7
2022-11-14T20:05:00+01:00,72.7
2022-11-16T15:17:01+01:00,72.7
2022-11-18T22:18:00+01:00,70.6
2022-11-21T22:05:39+01:00,70.7
2022-11-23T21:13:47+01:00,71.6
2022-11-26T13:15:00+01:00,71.3
2022-11-28T10:08:00+01:00,72.6
2022-11-30T10:04:12+01:00,73
2022-12-02T14:24:29+01:00,71
2022-12-06T13:37:57+01:00,70.7
2022-12-07T13:30:00+01:00,71.6
2022-12-09T15:34:00+01:00,72
2022-12-12T11:28:30+01:00,71.1
2022-12-14T13:55:33+01:00,70.2
2022-12-16T14:30:40+01:00,71.4
2022-12-19T13:54:44+01:00,70.6
2022-12-30T04:19:44+01:00,70.4
2022-12-30T12:48:44+01:00,69.1
2022-12-30T12:48:44+01:00,69.1
2023-01-03T18:56:44+01:00,73
2023-01-05T15:15:44+01:00,73.2
2023-01-07T11:09:00+01:00,73.9
2023-01-09T20:00:17+01:00,74.4
2023-01-11T20:47:22+01:00,74.7
2023-01-16T20:34:08+01:00,74.4
2023-01-19T11:44:29+01:00,74.4
2023-01-23T19:06:48+01:00,74.5
2023-01-25T20:47:48+01:00,73.4
2023-01-27T20:00:48+01:00,74.9
2023-01-30T13:24:44+01:00,75.5
2023-02-01T20:00:07+01:00,73.5
2023-02-03T21:12:13+01:00,74.4
2023-02-06T15:30:00+01:00,74.5
2023-02-08T20:45:00+01:00,74.6
2023-02-10T21:19:50+01:00,74.6
2023-02-13T21:46:50+01:00,74.8
2023-02-15T12:40:50+01:00,75.2
2023-02-17T20:30:50+01:00,75.3
2023-02-20T22:10:50+01:00,74.8
2023-02-22T22:21:50+01:00,75
2023-02-24T20:23:50+01:00,75.7
2023-02-27T20:10:50+01:00,76.9
2023-03-03T15:34:27+01:00,74.9
2023-03-05T13:32:46+01:00,73.3
2023-03-06T20:50:20+01:00,73.2
2023-03-10T20:24:20+01:00,76
2023-03-13T02:40:05+01:00,74.6
2023-03-13T23:20:05+01:00,75
2023-03-15T21:49:59+01:00,73
2023-03-18T20:53:59+01:00,74.7
2023-03-19T20:53:59+01:00,75
2023-03-22T21:48:59+01:00,74
2023-03-23T20:39:59+01:00,74.5
2023-03-24T22:30:59+01:00,76.2
2023-03-29T21:54:59+01:00,76.7
2023-03-31T14:20:59+01:00,76.3
2023-04-03T22:30:45+02:00,76.1
2023-04-05T17:02:45+02:00,76.4
2023-04-07T18:22:45+02:00,76.3
2023-04-09T17:15:45+02:00,77
2023-04-11T20:24:45+02:00,76.4
2023-04-13T17:07:00+02:00,76.7
2023-04-15T19:03:00+02:00,77.1
2023-04-17T22:27:00+02:00,76.9
2023-06-24T22:35:00+02:00,77
2023-04-26T21:41:00+02:00,76.3
2023-04-28T17:15:00+02:00,77.7
2023-05-02T17:52:00+02:00,76.2
2023-05-04T22:14:00+02:00,76.2
2023-05-06T18:32:00+02:00,76.7
2023-05-08T22:12:00+02:00,78.3
2023-05-10T21:30:00+02:00,76.3
2023-05-15T22:44:00+02:00,77.5
2023-05-17T17:25:00+02:00,76.4
2023-05-26T22:18:00+02:00,76.4
2023-05-29T22:18:00+02:00,75.1
2023-05-31T19:57:00+02:00,74.8
2023-06-02T19:57:00+02:00,76.9
2023-06-05T22:30:00+02:00,76.1
2023-06-07T14:45:00+02:00,74.5
2023-06-09T22:00:00+02:00,77.1
2023-06-12T21:47:00+02:00,75.1
2023-06-14T21:26:00+02:00,75.6
2023-06-16T22:00:00+02:00,76.1
2023-06-19T21:43:00+02:00,75.2
2023-06-21T21:25:00+02:00,75.9
2023-06-23T14:37:00+02:00,76.5
2023-06-28T19:10:00+02:00,76.3
2023-06-30T19:10:00+02:00,77.3
2023-07-03T22:43:00+02:00,76.1
2023-07-05T19:17:00+02:00,76.4
2023-07-12T22:08:00+02:00,76.1
2023-07-14T22:40:00+02:00,77.4
2023-07-17T22:49:00+02:00,78.1
2023-07-19T22:52:00+02:00,76.2
2023-07-21T22:32:00+02:00,77
2023-07-24T22:40:00+02:00,77.4
2023-07-26T21:40:00+02:00,77.7
2023-07-31T21:02:00+02:00,78.5
2023-08-02T22:53:00+02:00,78.5
2023-08-04T17:55:00+02:00,77.7
2023-08-07T22:47:00+02:00,77.6
2023-08-09T22:48:00+02:00,78
2023-08-17T18:32:00+02:00,78.9
2023-08-18T21:01:00+02:00,79.7
2023-08-21T22:47:00+02:00,78.1
2023-08-23T21:15:00+02:00,79.2
2023-08-25T21:47:00+02:00,79.2
2023-08-28T22:10:00+02:00,79.1
2023-08-30T21:35:00+02:00,80
2023-09-03T19:55:00+02:00,78.6
2023-09-04T21:55:00+02:00,78.3
2023-09-05T19:28:00+02:00,79.5
2023-09-08T18:37:00+02:00,79.1
2023-09-11T22:19:00+02:00,78.8
2023-09-14T22:00:00+02:00,79.5
2023-09-15T21:35:00+02:00,79.2
2023-09-18T21:52:00+02:00,79
2023-09-21T21:35:00+02:00,80.6
2023-09-23T19:50:00+02:00,80
2023-09-25T20:55:00+02:00,79.8
2023-09-27T21:10:00+02:00,79.5
2023-09-29T20:56:00+02:00,79.8
2023-10-30T22:16:00+01:00,77.6
2023-11-03T14:02:00+01:00,76.9
2023-11-06T22:51:00+01:00,77.1
2023-11-08T22:09:00+01:00,78.7
2023-11-10T22:31:00+01:00,76.6
2023-11-14T22:00:00+01:00,77.2
2023-11-15T22:55:00+01:00,78.1
2023-11-17T22:48:00+01:00,78.4
2023-11-20T22:52:00+01:00,76.6
2023-11-23T22:52:00+01:00,77.2
2023-11-24T22:51:00+01:00,78.5
2023-11-27T22:32:00+01:00,78
2023-12-06T18:23:00+01:00,77.4
2023-12-08T22:13:00+01:00,78.1
2023-12-14T20:40:00+01:00,78.3
2024-01-03T21:51:00+01:00,76.7
2024-01-05T21:56:00+01:00,75.9
2024-01-08T22:34:00+01:00,77.8
2024-01-10T22:34:00+01:00,77.2
2024-01-13T19:12:00+01:00,76.2
2024-01-15T17:37:00+01:00,77.3
2024-01-15T17:37:00+01:00,77.3
2024-01-22T22:45:00+01:00,76.1
2024-01-24T22:33:00+01:00,77
2024-01-26T20:30:00+01:00,78.2
2024-01-29T21:36:00+01:00,77.2
2024-01-31T22:49:00+01:00,77.8
2024-02-02T22:17:00+01:00,77.7
2024-02-05T22:33:00+01:00,78.3
2024-02-07T19:37:00+01:00,78.4
2024-02-09T20:44:00+01:00,79.5
2024-02-12T22:55:00+01:00,78.3
2024-02-14T22:17:00+01:00,78.6
2024-02-16T21:19:00+01:00,77.7
2024-02-22T21:47:00+01:00,77.4
2024-02-23T22:50:00+01:00,77.1
2024-03-01T21:02:00+01:00,77.8
2024-03-04T21:04:00+01:00,76
2024-03-06T20:57:00+01:00,77.6
2024-03-11T20:26:00+01:00,77.3
2024-03-13T21:00:00+01:00,78.1
2024-03-14T21:09:00+01:00,77.5
2024-03-20T21:53:00+01:00,77.8
2024-03-22T19:17:00+01:00,78
2024-03-26T21:16:00+02:00,77.2
2024-03-27T20:37:00+02:00,78.5
2024-04-04T20:45:00+02:00,79.5
2024-04-21T19:09:00+02:00,79
2024-04-23T19:13:00+02:00,77.5
2024-04-26T22:31:00+02:00,78
2024-04-28T22:30:00+02:00,79.5
2024-05-01T19:43:00+02:00,79
2024-05-03T20:46:00+02:00,79
2024-05-07T21:08:00+02:00,79
2024-05-09T21:17:00+02:00,78.7
2024-05-10T21:34:00+02:00,79
2024-05-13T21:06:00+02:00,78.8
2024-05-22T21:18:00+02:00,79.3
2024-05-23T21:24:00+02:00,79.9
2024-06-05T21:24:00+02:00,78.6
2024-06-09T19:35:00+02:00,78
2024-06-12T21:17:00+02:00,77.9
2024-06-14T21:47:00+02:00,78.2
2024-06-17T21:42:00+02:00,77.8
2024-06-19T22:50:00+02:00,78.5
2024-06-26T22:46:00+02:00,78.2
2024-06-30T19:26:00+02:00,76.9
2024-07-03T22:04:00+02:00,77.7
2024-07-05T22:35:00+02:00,79.1
2024-07-08T22:07:00+02:00,76.6
2024-07-10T22:38:00+02:00,77
2024-07-13T14:51:00+02:00,77.4
2024-07-15T21:35:00+02:00,77.9
2024-07-19T21:45:00+02:00,78.3
2024-07-22T22:47:00+02:00,78.9
2024-07-24T20:51:00+02:00,77.9
2024-07-27T19:29:00+02:00,79
2024-07-29T22:37:00+02:00,77.5
2024-07-31T22:18:00+02:00,77.5
2024-08-03T14:02:00+02:00,79.6
