start	end	text
0	5000	To begin with, I wanted to get a clearer idea of the context of both of these.
5000	12000	Okay, so specifically the complexity prior and the homoesthetic prior?
12000	15000	No, the complexity prior and the supercooperation cluster.
15000	19000	So it turns out that you said humanity is grappling with the Darwin meme.
19000	20000	Yes.
20000	27000	And these seem to be the only two things that even remotely, I don't know,
27000	31000	but the vibe I got was that seemed to have the heft to deal with it.
31000	32000	Okay, yeah.
32000	38000	So the way I put it is that I see most people as doing one of two things.
38000	41000	They're either sort of like reaching up from the bottom.
41000	45000	So it's like if you start off with a materialist reductionist sort of stance,
45000	48000	then you're kind of trying to recreate all of our meaning structures.
48000	50000	You're trying to like bridge that is-aught gap.
50000	52000	It's like, okay, we have all this stuff that is going on.
52000	53000	And then we're trying to...
53000	54000	They start from the is.
54000	55000	Yeah, they start from the is.
55000	56000	They try to get to the ought.
56000	60000	They all start from the ought, sort of ex-nilo.
60000	63000	They come up with a lot of wacky stuff that's just...
63000	65000	I mean, there's two things that's predicated on.
65000	67000	One is just whatever humans have a tendency to believe.
67000	71000	The other is like what humans in the past have believed.
71000	75000	Like whatever people have come up with that's survived over centuries,
75000	78000	various religions and other moral frameworks that someone...
78000	80000	People read it and they're like, oh, that's pretty clever.
80000	81000	That seems consistent.
81000	84000	Or it seems like I'm able to apply that in a sort of fuzzy, heuristic way.
84000	85000	Right.
85000	87000	Utilitarianism, the ontology, virtue, ethics, whatever it is.
87000	89000	Stoicism, you know, particular schools of thought.
89000	92000	It's like this is a basic framework for acting.
92000	98000	So they pick something that seems given their life experience and intuitions to be...
98000	99000	Workable.
99000	100000	Pragmatic.
100000	101000	Yeah.
101000	102000	Or even resonant.
102000	103000	Yeah.
103000	106000	And then people get frustrated with the sort of...
106000	109000	That these things are underspecified or not ultimately grounded, right?
109000	112000	You have the Baron Munchausen trilemma, right?
112000	118000	Infinite regress or unjustified axioms or circular justification.
118000	119000	Yep.
119000	123000	So I'm attempting to do something like...
123000	130000	The Munchausen trilemma of grounding an art that is purely an art innocence.
130000	133000	Well, so it's informed by...
133000	136000	I am trying to like do down from the art instead of up from the is,
